ARMAS NOVAS EM 2012 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Pessoa física;6;14;11;9;15;18;25;10;15;14;12;23;172
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;1;1
;Segurança Privada;5;11;0;14;0;0;0;0;0;0;2;4;36
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;6;6
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;11;25;11;23;15;18;25;10;15;14;14;34;215
;TOTAL DE REGISTROS EXPEDIDOS;240;33;284;352;361;115;165;78;29;43;125;136;1961
AL;Pessoa física;21;25;30;14;40;10;34;22;19;18;11;18;262
;Segurança Pública;0;0;0;66;0;12;0;1;0;0;0;0;79
;Segurança Privada;0;0;2;0;8;0;0;0;0;0;0;0;10
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;21;25;32;80;48;22;34;23;19;18;11;18;351
;TOTAL DE REGISTROS EXPEDIDOS;30;23;100;35;51;41;60;43;42;51;29;66;571
AM;Pessoa física;60;30;59;54;61;39;53;43;61;29;97;36;622
;Segurança Pública;0;0;0;0;0;0;0;48;0;0;0;0;48
;Segurança Privada;15;0;77;40;0;4;36;6;85;13;18;0;294
;Órgão Público;0;0;0;0;0;0;0;5;0;0;0;0;5
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;75;30;136;94;61;43;89;102;146;42;115;36;969
;TOTAL DE REGISTROS EXPEDIDOS;65;34;62;74;76;64;82;61;141;72;163;48;942
AP;Pessoa física;0;5;4;5;3;10;0;2;11;11;5;1;57
;Segurança Pública;0;0;0;0;0;0;0;95;0;0;5;0;100
;Segurança Privada;0;0;33;0;0;0;0;0;8;2;2;8;53
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;5;37;5;3;10;0;97;19;13;12;9;210
;TOTAL DE REGISTROS EXPEDIDOS;2;31;31;20;137;9;0;0;5;10;8;17;270
BA;Pessoa física;10;13;17;40;23;44;148;218;268;210;138;143;1272
;Segurança Pública;0;0;0;0;0;0;0;15;0;170;1150;2;1337
;Segurança Privada;58;80;18;62;18;51;6;54;16;0;6;69;438
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;6;0;0;0;0;0;0;0;0;0;0;0;6
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;74;93;35;102;41;95;154;287;284;380;1294;214;3053
;TOTAL DE REGISTROS EXPEDIDOS;179;48;71;89;92;54;106;269;280;368;172;588;2316
CE;Pessoa física;17;25;33;32;36;17;22;16;10;27;24;25;284
;Segurança Pública;0;0;0;0;0;11;0;0;0;0;0;0;11
;Segurança Privada;0;1;2;24;84;0;6;7;19;18;0;73;234
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;17;26;35;56;120;28;28;23;29;45;24;98;529
;TOTAL DE REGISTROS EXPEDIDOS;40;28;36;121;123;39;53;19;45;43;59;59;665
DF;Pessoa física;20;19;26;20;9;3;2;1;7;11;14;5;137
;Segurança Pública;0;86;0;0;1;81;0;929;959;100;121;2235;4512
;Segurança Privada;0;0;0;0;4;9;8;0;0;12;0;27;60
;Órgão Público;0;0;0;0;0;1;0;0;0;0;100;739;840
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;20;105;26;20;14;94;10;930;966;123;235;3006;5549
;TOTAL DE REGISTROS EXPEDIDOS;3884;325;133;126;211;66;457;61;1301;2024;214;125;8927
ES;Pessoa física;68;35;98;68;99;112;79;117;87;98;71;65;997
;Segurança Pública;0;0;0;0;0;0;0;9;0;0;0;0;9
;Segurança Privada;0;8;0;6;35;19;39;14;0;12;27;8;168
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;68;43;98;74;134;131;118;140;87;110;98;73;1174
;TOTAL DE REGISTROS EXPEDIDOS;87;73;93;74;200;136;114;104;113;139;84;88;1305
GO;Pessoa física;56;115;126;171;83;60;22;18;5;25;113;117;911
;Segurança Pública;0;0;0;0;0;0;0;15;0;0;0;500;515
;Segurança Privada;8;56;5;1;17;40;9;0;41;209;0;0;386
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
