ARMAS NOVAS EM 2019 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Caçador de Subsistência;0;0;0;5;3;7;9;1;0;0;1;8;34
;Cidadão;0;0;0;1;22;13;36;42;41;69;65;63;352
;Servidor Público (Porte por prerrogativa de função);0;0;0;0;3;1;4;3;3;0;3;13;30
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;0;0;0;0;0;5;0;0;0;10;15
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;0;6;28;21;49;51;44;69;69;94;431
;TOTAL DE REGISTROS EXPEDIDOS;;;;11;85;53;82;97;92;123;129;126;798
AL;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;0;0;0;0;47;41;48;37;52;43;36;36;340
;Servidor Público (Porte por prerrogativa de função);0;0;0;0;9;2;8;1;23;47;18;8;116
;Empresa com Segurança Orgânica;0;0;0;0;0;1;2;0;0;1;0;4;8
;Empresa Comercial;0;0;0;0;0;0;0;15;0;0;0;0;15
;Empresa de Segurança Privada;0;0;0;0;0;0;0;10;0;4;0;0;14
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;22;22
;Órgão público sem taxa;0;0;0;0;157;148;0;190;30;0;0;2;527
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;0;0;213;192;58;253;105;95;54;72;1042
;TOTAL DE REGISTROS EXPEDIDOS;;;;0;298;273;139;314;162;146;100;104;1536
AM;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;0;0;0;0;21;5;11;26;13;17;78;59;230
;Servidor Público (Porte por prerrogativa de função);0;0;0;0;5;1;1;8;5;1;21;11;53
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;0;0;0;10;0;1;0;0;0;0;11
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;0;0;26;16;12;35;18;18;99;70;294
;TOTAL DE REGISTROS EXPEDIDOS;;;;0;250;100;74;83;45;344;151;211;1258
AP;Caçador de Subsistência;0;0;0;0;0;0;1;0;0;0;1;0;2
;Cidadão;0;0;0;12;20;20;17;27;13;25;18;16;168
;Servidor Público (Porte por prerrogativa de função);0;0;0;0;4;2;7;14;13;9;3;13;65
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;0;0;4;0;0;9;0;13;2;0;28
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;0;250;0;0;0;104;354
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;0;12;28;22;25;300;26;47;24;133;617
;TOTAL DE REGISTROS EXPEDIDOS;;;;19;72;111;42;327;41;57;43;143;855
BA;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;0;0;0;6;146;118;215;206;206;134;209;177;1417
;Servidor Público (Porte por prerrogativa de função);0;0;0;2;20;16;27;32;27;24;49;39;236
;Empresa com Segurança Orgânica;0;0;0;0;2;0;0;0;0;0;0;0;2
;Empresa Comercial;0;0;0;0;0;0;0;2;0;0;2;0;4
;Empresa de Segurança Privada;0;0;0;0;8;28;0;20;0;21;40;25;142
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;0;0;30;69;5;0;104
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;10;10
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;0;8;176;162;242;260;263;248;305;251;1915
;TOTAL DE REGISTROS EXPEDIDOS;;;;17;311;330;504;584;453;317;536;502;3554
CE;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;0;0;0;3;64;47;79;53;43;59;43;23;414
;Servidor Público (Porte por prerrogativa de função);0;0;0;5;86;44;61;39;32;56;52;39;414
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;6;0;0;1;0;7
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;0;0;31;4;12;2;4;0;18;4;75
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;5;3;0;0;0;0;8
;Órgão público sem taxa;0;0;0;0;40;80;60;0;0;0;0;0;180
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;0;0;8;221;175;217;103;79;115;114;66;1098
;TOTAL DE REGISTROS EXPEDIDOS;;;;42;365;295;330;335;115;188;219;115;2004
DF;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;0;0;0;8;5;5;63;71;42;7;11;312;524
;Servidor Público (Porte por prerrogativa de função);0;0;0;1;0;2;34;40;14;4;4;95;194
