ARMAS NOVAS EM 2021 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
AC;Caçador de Subsistência;30;16;17;10;14;10;17;13;7;10;5;4;153
;Cidadão;88;154;199;201;263;240;144;216;154;113;89;152;2013
;Servidor Público (Porte por prerrogativa de função);20;15;18;17;13;7;7;25;14;6;7;13;162
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;0;0;0;0;2;5;0;2;3;0;12
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;40;40
;Órgão público sem taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;138;185;234;228;290;257;170;259;175;131;104;209;2380
;TOTAL DE REGISTROS EXPEDIDOS;193;250;260;278;350;306;191;310;211;154;136;245;2884
AL;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;40;59;140;121;76;82;93;0;64;68;53;38;834
;Servidor Público (Porte por prerrogativa de função);12;8;63;38;41;26;53;66;38;26;34;23;428
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;1;0;1;2
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;2;0;6;3;6;2;16;38;8;4;0;85
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;20;0;0;0;0;0;20
;Outras Categorias;0;0;0;0;7;0;0;0;0;0;0;0;7
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;52;69;203;165;127;114;168;82;140;103;91;62;1376
;TOTAL DE REGISTROS EXPEDIDOS;57;105;268;283;182;133;255;279;168;141;124;93;2088
AM;Caçador de Subsistência;0;0;0;0;0;0;0;0;2;1;0;0;3
;Cidadão;0;52;104;43;68;77;124;80;97;79;26;21;771
;Servidor Público (Porte por prerrogativa de função);0;6;11;8;15;14;17;21;12;17;4;6;131
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;1;0;0;0;0;1
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;14;4;43;59;12;0;57;6;0;1;0;196
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;18;0;0;0;0;0;0;0;0;0;18
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;72;137;94;142;103;141;159;117;97;31;27;1120
;TOTAL DE REGISTROS EXPEDIDOS;11;112;191;227;205;159;191;213;148;139;53;28;1677
AP;Caçador de Subsistência;0;0;0;0;0;1;0;0;0;0;0;0;1
;Cidadão;13;30;38;28;27;28;28;12;29;31;30;24;318
;Servidor Público (Porte por prerrogativa de função);7;5;10;3;5;5;14;7;4;13;10;3;86
;Empresa com Segurança Orgânica;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;0;0;1;0;0;0;5;1;1;0;0;0;8
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público sem taxa;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;20;35;49;31;32;34;47;20;34;44;40;27;413
;TOTAL DE REGISTROS EXPEDIDOS;28;50;58;43;38;47;57;33;84;63;48;31;580
BA;Caçador de Subsistência;0;0;0;0;0;0;0;0;0;0;0;0;0
;Cidadão;303;348;359;468;422;417;417;449;426;434;422;214;4679
;Servidor Público (Porte por prerrogativa de função);41;61;65;67;71;67;78;71;60;47;66;25;719
;Empresa com Segurança Orgânica;0;0;0;0;4;0;0;0;0;0;0;0;4
;Empresa Comercial;0;0;0;0;0;0;0;0;0;0;0;0;0
;Empresa de Segurança Privada;1;0;24;2;13;5;14;13;5;1;0;2;80
;Fabricante/Importador;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão público com taxa;0;0;0;0;0;0;0;0;0;2;0;0;2
;Órgão público sem taxa;0;0;18;0;0;0;11;0;0;0;0;1;30
;Outras Categorias;0;0;0;0;0;0;0;0;0;0;0;0;0
;Revendedor;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;345;409;466;537;510;489;520;533;491;484;488;242;5514
;TOTAL DE REGISTROS EXPEDIDOS;458;493;597;798;625;611;685;711;604;667;617;319;7185
CE;Caçador de Subsistência;30;0;0;0;0;0;0;0;0;0;0;0;30
;Cidadão;91;96;121;64;31;98;65;66;117;93;72;32;946
;Servidor Público (Porte por prerrogativa de função);31;38;74;33;8;60;43;65;25;47;51;20;495
